stop_lat,stop_code,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
37.75621,13742,-122.40942,,3742,,Bryant St & 22nd St,0,
37.75572,13743,-122.40949,,3743,,Bryant St & 22nd St,0,
37.75751,13740,-122.4095,,3740,,Bryant St & 21st St,0,
37.7574,13741,-122.40961,,3741,,Bryant St & 21st St,0,
37.772033,14620,-122.430347,,4620,,Fillmore St & Haight St,0,
37.776106,14621,-122.431197,,4621,,Fillmore St & Hayes St,0,
37.775598,14622,-122.431207,,4622,,Fillmore St & Hayes St,0,
37.792761,14623,-122.434556,,4623,,Fillmore St & Jackson St,0,
37.792386,14624,-122.434607,,4624,,Fillmore St & Jackson St,0,
37.805421,14625,-122.437389,,4625,,Fillmore St & Jefferson St,0,
37.799707,14626,-122.435952,,4626,,Fillmore St & Lombard St,0,
37.799595,14627,-122.436051,,4627,,Fillmore St & Lombard St,0,
37.77854,14628,-122.431687,,4628,,Fillmore St & Mcallister St,0,
37.778343,14629,-122.431762,,4629,,Fillmore St & Mcallister St,0,
37.737074,17719,-122.379516,,7719,,Middle Point & Acacia,0,
37.71322,16568,-122.42115,,6568,,1901 Sunnydale Ave,0,
37.729492,17852,-122.49409,,7852,,Lake Merced & Lakeshore,0,
37.764709,17853,-122.493413,,7853,,Lincoln Way & 34th Ave,0,
37.72942,17851,-122.494056,,7851,,Lake Merced & Lakeshore,0,
37.801825,17856,-122.428104,,7856,,Chestnut St & Gough St,0,
37.801914,17857,-122.427955,,7857,,Chestnut St & Gough St,0,
37.781313,17854,-122.458955,,7854,,Geary Blvd & Arguello Blvd,0,
37.78063,17858,-122.412407,,7858,,Market St & 7th St North,0,
37.769463,17859,-122.429122,,7859,,Duboce Ave & Church St,0,
37.733925,13698,-122.435706,,3698,,Bosworth St & Lippard Ave,0,
37.733827,13699,-122.43597,,3699,,Bosworth St & Lippard Ave,0,
37.755973,14538,-122.437902,,4538,,Eureka St & 21st St,0,
37.755813,14539,-122.43773,,4539,,Eureka St & 21st St,0,
37.70913,14828,-122.48498,,4828,,1100 Lake Merced Blvd,0,
37.709312,14829,-122.485294,,4829,,1100 Lake Merced Blvd,0,
37.74183,13690,-122.40978,,3690,,Bernal Heights Blvd & Bradford St,0,
37.760631,14535,-122.438188,,4535,,Eureka St & 18th St,0,
37.759034,14536,-122.438039,,4536,,Eureka St & 19th St,0,
37.75741,14537,-122.437879,,4537,,Eureka St & 20th St,0,
37.808351,14530,-122.410287,,4530,,The Embarcadero & Stockton St,0,
37.733595,13695,-122.434011,,3695,,Bosworth St & Diamond St,0,
37.733488,13696,-122.43408,,3696,,Bosworth St & Diamond St,0,
37.735005,13697,-122.440093,,3697,,Bosworth St & Elk St,0,
37.71905,16369,-122.40049,,6369,,San Bruno Ave & Ward St,0,
37.723647,16363,-122.401863,,6363,,San Bruno Ave & Paul Ave,0,
37.72418,16362,-122.4021,,6362,,San Bruno Ave & Paul Ave,0,
37.721604,16361,-122.401223,,6361,,San Bruno Ave & Mansell St,0,
37.721478,16360,-122.400948,,6360,,San Bruno Ave & Mansell St,0,
37.73026,16367,-122.40462,,6367,,San Bruno Ave & Thornton Ave,0,
37.71384,16366,-122.40213,,6366,,San Bruno Ave & Somerset St,0,
37.73217,16365,-122.40556,,6365,,San Bruno Ave & Silver Ave,0,
37.732384,16364,-122.405523,,6364,,San Bruno Ave & Silver Ave,0,
37.74799,13526,-122.4878,,3526,,30th Ave & Quintara St,0,
37.74808,13527,-122.487926,,3527,,30th Ave & Quintara St,0,
37.75111,13524,-122.39866,,3524,,26th St & Wisconsin St,0,
37.73896,13525,-122.48611,,3525,,29th Ave & Vicente St,0,
37.750718,13522,-122.401124,,3522,,26th St & Rhode Island St,0,
37.749108,13523,-122.416065,,3523,,26th St & South Van Ness Ave,0,
37.74827,13520,-122.43177,,3520,,26th St & Noe St,0,
37.748174,13521,-122.431636,,3521,,26th St & Noe St,0,
37.825196,13229,-122.370063,,3229,,9th St & Avenue H,0,
37.74636,13528,-122.4878,,3528,,30th Ave & Rivera St,0,
37.74616,13529,-122.48767,,3529,,30th Ave & Rivera St,0,
37.760349,17219,-122.508685,,7219,,Judah/La Playa/Ocean Beach,0,
37.836443,15496,-122.50214,,5496,,Mccullough Rd & Bunker Rd,0,
37.728783,17211,-122.475786,,7211,,20th Av/Macy's Stonestown,0,
37.739711,17213,-122.41017,,7213,,CORTLAND AVE & BRONTE ST,0,
37.78044,17214,-122.403466,,7214,,5TH ST & FOLSOM ST,0,
37.785358,17215,-122.409367,,7215,,ELLIS ST & MASON ST,0,
37.793152,17217,-122.396431,,7217,,Metro Embarcadero Station,0,
37.756436,16217,-122.426822,,6217,,Right Of Way/21st St,0,
37.756643,16216,-122.426922,,6216,,Right Of Way/21st St,0,
37.758229,16215,-122.427795,,6215,,Right Of Way/20th St,0,
37.758264,16214,-122.427924,,6214,,Right Of Way/20th St,0,
37.761192,16213,-122.428184,,6213,,Right Of Way/18th St,0,
37.731399,16212,-122.429647,,6212,,Rousseau St & Cayuga Ave,0,
37.74414,16211,-122.41301,,6211,,Ripley St & Folsom St,0,
37.74418,16210,-122.41315,,6210,,Ripley St & Folsom St,0,
37.73119,16219,-122.47435,,6219,,Right Of Way/Eucalyptus Dr,0,
37.754607,16218,-122.42775,,6218,,Right Of Way/22nd St,0,
37.805063,16819,-122.425351,,6819,,Van Ness Ave & North Point St,0,
37.805161,16818,-122.425248,,6818,,Van Ness Ave & North Point St,0,
37.740003,14558,-122.382973,,4558,,Evans Ave & Newhall St,0,
37.794177,16813,-122.423005,,6813,,Van Ness Ave & Jackson St,0,
37.742994,14559,-122.388309,,4559,,Evans Ave & Phelps St,0,
37.780008,16815,-122.42019,,6815,,Van Ness Ave & Mcallister St,0,
37.793829,16814,-122.423131,,6814,,Van Ness Ave & Jackson St,0,
37.775216,16817,-122.419252,,6817,,Van Ness Ave & Market St,0,
37.779687,16816,-122.420324,,6816,,Van Ness Ave & Mcallister St,0,
37.821938,13673,-122.367796,,3673,,Avenue H & 4th St,0,
37.750699,13232,-122.466547,,3232,,10th Ave & Pacheco St,0,
37.749325,13233,-122.466261,,3233,,10th Ave & Quintara St,0,
37.752724,13230,-122.466502,,3230,,10th Ave & Ortega St,0,
37.75086,13231,-122.466376,,3231,,10th Ave & Pacheco St,0,
37.723127,17320,-122.395243,,7320,,3rd St & Fitzgerald Ave,0,
37.769557,17321,-122.389296,,7321,,3rd St & Gene Friend Way,0,
37.749164,13234,-122.466432,,3234,,10th Ave & Quintara St,0,
37.769807,13235,-122.4113,,3235,,11th St & Bryant St,0,
37.762069,15195,-122.469324,,5195,,Judah St & 12th Ave,0,
37.762139,15194,-122.466312,,5194,,Judah St & 9th Ave,0,
37.770691,13238,-122.412526,,3238,,11th St & Harrison St,0,
37.770557,13239,-122.412492,,3239,,11th St & Harrison St,0,
37.762334,15191,-122.46435,,5191,,Judah St & 7th Ave,0,
37.762397,15190,-122.462849,,5190,,Judah St & 6th Ave,0,
37.762227,15193,-122.466688,,5193,,Judah St & 9th Ave,0,
37.762201,15192,-122.464144,,5192,,Judah St & 7th Ave,0,
